REQ_ID,artifact,type,test,sprint,status
FR-LOGIN-001,com.webcash.iris.auth.api.AuthenticationController#login,code,AuthenticationServiceTest,L2,IMPLEMENTED
FR-LOGIN-001,com.webcash.iris.auth.domain.AuthenticationService#authenticate,code,AuthenticationServiceTest,L2,IMPLEMENTED
FR-LOGIN-001,com.webcash.iris.auth.api.LoginRequest,code,-,L2,IMPLEMENTED
FR-LOGIN-002,com.webcash.iris.auth.domain.AuthFailureReason#INVALID_CREDENTIALS,code,AuthenticationServiceTest.wrongPasswordIsIndistinguishable,L1,IMPLEMENTED
FR-LOGIN-002,com.webcash.iris.auth.api.AuthExceptionHandler#handle,code,-,L2,IMPLEMENTED
FR-LOGIN-003,com.webcash.iris.auth.domain.AccountPolicy#assertNotLocked,code,AccountPolicyTest.Lockout,L1,IMPLEMENTED
FR-LOGIN-003,com.webcash.iris.auth.infra.db.UserMapper#incrementLoginAttempt,code,AuthenticationServiceTest,L1,IMPLEMENTED
FR-LOGIN-004,com.webcash.iris.auth.infra.db.UserMapper#resetFailureCounters,code,AuthenticationServiceTest,L1,IMPLEMENTED
FR-LOGIN-005,com.webcash.iris.auth.crypto.PasswordHasher#hash,code,PasswordHasherTest,L1,IMPLEMENTED
FR-LOGIN-005,com.webcash.iris.auth.infra.db.UserMapper#updatePasswordHash,code,-,L1,IMPLEMENTED
FR-LOGIN-008,com.webcash.iris.auth.domain.AuthenticationService#authenticate,code,AuthenticationServiceTest.otpNotRegistered,L2,IMPLEMENTED
FR-LOGIN-009,com.webcash.iris.auth.crypto.TotpVerifier#isWellFormed,code,TotpVerifierTest,L2,IMPLEMENTED
FR-LOGIN-009,com.webcash.iris.auth.api.LoginRequest#otpCode,code,-,L2,IMPLEMENTED
FR-LOGIN-010,com.webcash.iris.auth.domain.AuthenticationService#authenticate,code,AuthenticationServiceTest.SingleFactorPrevention,L2,IMPLEMENTED
FR-LOGIN-011,com.webcash.iris.auth.crypto.TotpVerifier#verify,code,TotpVerifierTest.acceptsCodeFromPreviousStep,L2,IMPLEMENTED
FR-LOGIN-012,com.webcash.iris.auth.domain.AccountPolicy#isDormant,code,AccountPolicyTest.Dormancy,L1,IMPLEMENTED
FR-LOGIN-013,com.webcash.iris.auth.domain.AccountStatus,code,AccountPolicyTest.Status,L1,IMPLEMENTED
FR-LOGIN-014,com.webcash.iris.auth.domain.AccountPolicy#passwordChangeRequired,code,AccountPolicyTest.PasswordAge,L1,IMPLEMENTED
FR-LOGIN-015,com.webcash.iris.auth.domain.AccountPolicy#passwordChangeRequired,code,AuthenticationServiceTest.initialPasswordRequiresChange,L1,IMPLEMENTED
FR-LOGIN-016,com.webcash.iris.auth.session.SessionRegistry#register,code,-,L1,IMPLEMENTED
FR-LOGIN-017,com.webcash.iris.auth.session.SessionRecord,code,-,L1,IMPLEMENTED
FR-LOGIN-018,com.webcash.iris.auth.infra.db.UserMapper#isOperator,code,AuthenticationServiceTest.operatorFlagPropagates,L1,IMPLEMENTED
FR-LOGIN-019,com.webcash.iris.auth.api.AuthenticationController#trustedSourceIp,code,ci.yml static-rules,L2,IMPLEMENTED
FR-LOGIN-020,com.webcash.iris.auth.infra.db.UserMapper#touchLastLogin,code,AuthenticationServiceTest,L1,IMPLEMENTED
FR-LOGIN-021,com.webcash.iris.auth.domain.AdminLoginNotifier,code,-,L7,IMPLEMENTED
FR-LOGIN-023,com.webcash.iris.auth.api.AuthenticationController#logout,code,-,L2,IMPLEMENTED
FR-LOGIN-024,com.webcash.iris.auth.domain.IpAllowlistPolicy,code,CidrDriver (32 assertions executed),L7,IMPLEMENTED
FR-LOGIN-025,application.yml,config,-,L5,IMPLEMENTED
FR-OTP-001,com.webcash.iris.auth.domain.OtpRegistrationService#begin,code,-,L3,IMPLEMENTED
FR-OTP-002,com.webcash.iris.auth.config.TotpConfig#secretGenerator,code,-,L3,IMPLEMENTED
FR-OTP-003,com.webcash.iris.auth.crypto.QrRenderer#otpauthUri,code,-,L3,IMPLEMENTED
FR-OTP-004,com.webcash.iris.auth.crypto.QrRenderer,code,ci.yml static-rules,L3,IMPLEMENTED
